iter	Passed	Remaining
0	0	55
1	0	47
2	4	139
3	4	113
4	5	102
5	6	94
6	6	84
7	6	78
8	7	72
9	7	67
10	7	64
11	8	61
12	9	62
13	9	60
14	10	59
15	10	57
16	11	56
17	11	54
18	12	52
19	12	50
20	13	49
21	13	47
22	13	46
23	14	45
24	14	43
25	15	42
26	15	41
27	15	40
28	16	39
29	16	38
30	16	37
31	17	36
32	17	35
33	17	34
34	18	34
35	18	33
36	19	32
37	19	31
38	19	31
39	20	30
40	20	29
41	20	28
42	21	28
43	21	27
44	22	27
45	23	27
46	23	26
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	28	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	21
59	30	20
60	31	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	33	16
67	34	16
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	38	12
76	38	11
77	39	11
78	40	10
79	40	10
80	41	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	44	5
89	44	4
90	45	4
91	45	3
92	45	3
93	46	2
94	47	2
95	47	1
96	47	1
97	48	0
98	48	0
99	48	0
