iter	Passed	Remaining
0	47	47444
1	48	24000
2	48	16146
3	49	12226
4	49	9870
5	50	8298
6	50	7171
7	51	6329
8	51	5667
9	51	5143
10	52	4715
11	52	4350
12	53	4048
13	53	3786
14	54	3564
15	54	3365
16	55	3192
17	55	3039
18	56	2911
19	56	2791
20	57	2677
21	58	2580
22	58	2491
23	59	2408
24	59	2330
25	60	2256
26	60	2194
27	61	2132
28	61	2074
29	62	2018
30	62	1968
31	63	1919
32	63	1875
33	64	1835
34	65	1797
35	65	1757
36	66	1717
37	66	1681
38	66	1647
39	67	1616
40	67	1587
41	68	1563
42	69	1537
43	69	1510
44	69	1485
45	70	1463
46	71	1441
47	71	1421
48	72	1400
49	73	1394
50	74	1394
51	75	1371
52	75	1349
53	75	1328
54	76	1308
55	76	1288
56	76	1270
57	77	1253
58	77	1235
59	78	1228
60	79	1216
61	79	1199
62	79	1184
63	79	1169
64	80	1155
65	80	1141
66	80	1126
67	81	1112
68	81	1099
69	81	1085
70	82	1073
71	82	1061
72	82	1048
73	82	1037
74	83	1026
75	83	1016
76	83	1005
77	84	995
78	84	990
79	85	980
80	85	970
81	85	960
82	85	949
83	86	940
84	86	930
85	86	922
86	87	913
87	87	905
88	88	901
89	88	895
90	88	888
91	89	880
92	89	872
93	89	865
94	90	857
95	90	850
96	90	843
97	90	836
98	91	828
99	91	822
100	91	815
101	91	808
102	92	805
103	93	801
104	93	795
105	93	789
106	93	784
107	94	778
108	94	772
109	94	766
110	95	761
111	95	756
112	95	751
113	96	748
114	96	743
115	96	738
116	97	732
117	97	732
118	98	728
119	98	724
120	99	719
121	99	714
122	99	709
123	99	705
124	100	700
125	100	696
126	100	691
127	100	687
128	101	682
129	101	678
130	101	674
131	101	670
132	102	668
133	102	665
134	103	661
135	103	658
136	103	654
137	104	650
138	104	646
139	104	643
140	104	639
141	105	635
142	105	631
143	105	628
144	105	624
145	106	621
146	106	618
147	106	615
148	108	618
149	108	615
150	109	612
151	109	609
152	109	607
153	110	604
154	110	601
155	110	598
156	110	595
157	111	592
158	111	589
159	111	586
160	111	583
161	113	586
162	113	585
163	114	582
164	114	579
165	114	577
166	115	574
167	115	572
168	115	569
169	116	566
170	116	564
171	116	561
172	116	558
173	117	559
174	118	557
175	118	555
176	118	553
177	119	551
178	119	548
179	119	546
180	120	544
181	120	542
182	120	539
183	121	537
184	121	537
185	123	540
186	124	539
187	124	537
188	124	535
189	125	533
190	125	531
191	125	529
192	126	527
193	126	525
194	126	522
195	127	521
196	127	519
197	128	520
198	128	518
199	129	518
200	130	516
201	130	516
202	131	514
203	131	512
204	131	510
205	131	508
206	133	511
207	133	510
208	134	508
209	134	507
210	135	506
211	135	505
212	136	503
213	136	502
214	137	501
215	138	501
216	138	500
217	139	499
218	139	497
219	140	496
220	140	495
221	141	494
222	141	493
223	141	491
224	142	490
225	142	489
226	143	488
227	144	488
228	145	488
229	145	488
230	146	487
231	146	486
232	147	484
233	148	486
234	148	484
235	149	482
236	149	481
237	149	479
238	150	477
239	150	475
240	150	474
241	150	472
242	151	470
243	151	468
244	151	468
245	152	466
246	152	465
247	152	463
248	153	462
249	153	460
250	153	459
251	154	457
252	154	456
253	154	454
254	155	453
255	155	451
256	155	450
257	157	452
258	157	451
259	159	453
260	159	451
261	160	451
262	160	449
263	160	448
264	161	446
265	161	446
266	162	445
267	162	444
268	162	442
269	163	441
270	163	440
271	163	438
272	164	437
273	164	436
274	164	434
275	165	433
276	165	431
277	165	430
278	166	429
279	166	428
280	166	426
281	167	425
282	167	424
283	167	422
284	167	421
285	168	420
286	168	419
287	169	418
288	169	416
289	169	415
290	170	415
291	170	414
292	171	413
293	172	413
294	172	413
295	173	411
296	173	410
297	173	409
298	174	408
299	174	407
300	175	406
301	175	405
302	175	404
303	176	403
304	176	402
305	177	401
306	177	400
307	177	399
308	178	398
309	178	396
310	178	395
311	178	394
312	179	393
313	179	392
314	179	390
315	179	389
316	180	388
317	180	387
318	180	386
319	181	384
320	181	383
321	181	382
322	181	381
323	182	380
324	182	379
325	182	378
326	183	377
327	183	375
328	184	375
329	184	374
330	184	373
331	185	372
332	185	371
333	185	370
334	186	369
335	187	369
336	187	368
337	187	367
338	188	366
339	188	365
340	188	364
341	189	363
342	189	362
343	189	361
344	190	360
345	190	359
346	191	359
347	191	358
348	191	357
349	191	356
350	192	355
351	192	354
352	193	353
353	193	352
354	193	351
355	193	350
356	194	349
357	194	349
358	194	348
359	195	347
360	196	346
361	196	346
362	196	345
363	197	344
364	197	343
365	197	342
366	197	341
367	199	342
368	199	341
369	200	340
370	200	339
371	200	339
372	201	338
373	201	337
374	201	336
375	202	335
376	202	335
377	203	334
378	203	333
379	203	332
380	203	331
381	204	330
382	204	329
383	204	328
384	205	327
385	205	326
386	206	326
387	207	326
388	207	326
389	208	326
390	209	326
391	209	325
392	210	325
393	211	325
394	211	324
395	212	324
396	213	324
397	214	324
398	215	323
399	215	323
400	216	323
401	217	323
402	218	324
403	219	323
404	219	323
405	220	322
406	221	322
407	221	321
408	222	321
409	223	321
410	223	320
411	224	320
412	225	319
413	225	319
414	226	319
415	227	319
416	229	321
417	230	320
418	230	320
419	231	319
420	232	319
421	233	319
422	233	318
423	234	318
424	234	317
425	235	317
426	236	317
427	236	316
428	237	315
429	237	314
430	237	313
431	237	312
432	238	311
433	238	311
434	238	310
435	239	309
436	239	308
437	239	307
438	239	306
439	240	305
440	240	305
441	241	304
442	241	303
443	242	303
444	242	302
445	242	301
446	243	300
447	243	299
448	243	299
449	244	298
450	244	297
451	244	296
452	244	295
453	245	294
454	245	293
455	245	293
456	246	292
457	246	291
458	246	290
459	247	289
460	247	289
461	247	288
462	248	287
463	248	287
464	248	286
465	249	285
466	249	284
467	249	284
468	250	283
469	250	282
470	251	282
471	251	281
472	252	281
473	253	281
474	253	280
475	253	279
476	254	278
477	254	277
478	254	277
479	255	276
480	255	275
481	255	274
482	257	275
483	257	274
484	257	273
485	258	273
486	258	272
487	259	271
488	259	270
489	259	270
490	259	269
491	260	268
492	260	268
493	261	267
494	261	266
495	261	266
496	262	265
497	262	264
498	262	263
499	263	263
500	263	262
501	263	261
502	264	260
503	264	260
504	264	259
505	264	258
506	265	257
507	265	257
508	265	256
509	266	255
510	266	255
511	266	254
512	267	253
513	267	253
514	268	252
515	268	252
516	269	251
517	269	250
518	269	249
519	270	249
520	270	248
521	270	247
522	270	247
523	271	246
524	271	245
525	271	245
526	272	244
527	272	243
528	273	243
529	273	242
530	274	242
531	274	241
532	274	240
533	275	240
534	275	239
535	275	238
536	276	238
537	276	237
538	277	236
539	277	236
540	277	235
541	278	235
542	278	234
543	278	233
544	279	232
545	279	232
546	279	231
547	279	230
548	280	230
549	281	230
550	282	229
551	282	229
552	282	228
553	283	227
554	283	227
555	283	226
556	283	225
557	284	225
558	284	224
559	285	224
560	285	223
561	286	223
562	286	222
563	286	221
564	287	221
565	287	220
566	287	219
567	288	219
568	288	218
569	288	218
570	289	217
571	289	216
572	290	216
573	291	216
574	291	215
575	291	214
576	292	214
577	292	213
578	292	212
579	293	212
580	293	211
581	293	210
582	293	210
583	294	209
584	294	208
585	294	208
586	296	208
587	296	207
588	296	207
589	297	206
590	297	205
591	297	205
592	298	204
593	298	203
594	298	203
595	298	202
596	299	202
597	299	201
598	299	200
599	300	200
600	300	199
601	300	198
602	301	198
603	302	198
604	302	197
605	303	197
606	303	196
607	304	196
608	304	195
